OUTPUT USBPU 	 location (6, 33, 0) 	 A3 	 SB_LVCMOS
OUTPUT PIN_9 	 location (0, 20, 0) 	 E1 	 SB_LVCMOS
INPUT  PIN_8 	 location (0, 17, 1) 	 E2 	 SB_LVCMOS
INPUT  PIN_7 	 location (0, 20, 1) 	 D1 	 SB_LVCMOS
INOUT PIN_6 	 location (0, 23, 1) 	 D2 	 SB_LVCMOS
INOUT PIN_5 	 location (0, 28, 0) 	 C1 	 SB_LVCMOS
INOUT PIN_4 	 location (0, 30, 1) 	 C2 	 SB_LVCMOS
OUTPUT PIN_3 	 location (0, 28, 1) 	 B1 	 SB_LVCMOS
OUTPUT PIN_24 	 location (23, 33, 0) 	 A6 	 SB_LVCMOS
OUTPUT PIN_23 	 location (24, 33, 0) 	 B6 	 SB_LVCMOS
OUTPUT PIN_22 	 location (27, 33, 0) 	 A7 	 SB_LVCMOS
OUTPUT PIN_2 	 location (2, 33, 1) 	 A1 	 SB_LVCMOS
INOUT PIN_12 	 location (3, 0, 1) 	 J1 	 SB_LVCMOS
INOUT PIN_11 	 location (3, 0, 0) 	 H1 	 SB_LVCMOS
INOUT PIN_10 	 location (0, 3, 1) 	 G2 	 SB_LVCMOS
OUTPUT PIN_1 	 location (4, 33, 0) 	 A2 	 SB_LVCMOS
OUTPUT LED 	 location (5, 33, 1) 	 B3 	 SB_LVCMOS
INPUT  CLK 	 location (0, 30, 0) 	 B2 	 SB_LVCMOS
